"","date","int_inf","pronostico","int_sup","value"
"110",2022-03-20,20.7650359980708,23.1881089322691,25.8939303502643,20.5585
"111",2022-03-21,20.7667801521976,23.2001811571438,25.9187221986039,20.5585
"112",2022-03-22,20.7685617885937,23.2122434262423,25.9434548412037,20.5585
"113",2022-03-23,20.7703801941765,23.2242957503758,25.9681290404182,20.4145
"114",2022-03-24,20.7722346714748,23.236338140367,25.9927455429204,20.2782
"115",2022-03-25,20.7741245381586,23.2483706070505,26.0173050801724,20.18
"116",2022-03-26,20.7760491265869,23.260393161272,26.041808368877,20.1313
"117",2022-03-27,20.7780077833738,23.2724058138889,26.0662561114119,20.1313
"118",2022-03-28,20.7799998689697,23.2844085757697,26.0906489962485,20.1313
"119",2022-03-29,20.7820247572595,23.2964014577939,26.1149876983532,19.9577
"120",2022-03-30,20.7840818351753,23.3083844708522,26.139272879575,20.1195
"121",2022-03-31,20.7861705023235,23.3203576258462,26.1635051890184,19.9942
"122",2022-04-01,20.7882901706257,23.3323209336882,26.1876852634022,NA
"123",2022-04-02,20.7904402639725,23.3442744053012,26.2118137274055,NA
"124",2022-04-03,20.7926202178903,23.3562180516188,26.2358911940013,NA
"125",2022-04-04,20.7948294792198,23.3681518835851,26.2599182647777,NA
"126",2022-04-05,20.7970675058055,23.3800759121546,26.2838955302483,NA
"127",2022-04-06,20.7993337661969,23.3919901482919,26.3078235701506,NA
"128",2022-04-07,20.8016277393602,23.4038946029718,26.3317029537353,NA
"129",2022-04-08,20.803948914399,23.4157892871793,26.3555342400445,NA
"130",2022-04-09,20.8062967902859,23.4276742119091,26.3793179781806,NA
"131",2022-04-10,20.8086708756027,23.4395493881659,26.4030547075658,NA
"132",2022-04-11,20.8110706882889,23.4514148269641,26.4267449581936,NA
"133",2022-04-12,20.8134957554003,23.4632705393276,26.4503892508705,NA
"134",2022-04-13,20.8159456128734,23.4751165362899,26.4739880974507,NA
"135",2022-04-14,20.8184198052998,23.4869528288937,26.4975420010624,NA
"136",2022-04-15,20.8209178857067,23.4987794281915,26.5210514563274,NA
"137",2022-04-16,20.8234394153453,23.5105963452444,26.5445169495721,NA
"138",2022-04-17,20.8259839634853,23.5224035911231,26.5679389590332,NA
"139",2022-04-18,20.8285511072166,23.5342011769069,26.5913179550558,NA
"140",2022-04-19,20.8311404312576,23.5459891136841,26.6146544002852,NA
